Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"561","BENT","ANDREEV","Peasant","Common","Human","22","Male","ANDREEV [163]","JUDITH ANDREEV","Ragged, dirty clothes","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Knows thieves’ cant","Enunciates overly clearly","Friendly","Respect or Retribution","Honor or Freedom","Neutrality or Redemption","Dedicated to fulfilling a personal life goal","Specific phobia","22","BENT'S FARM",""
"562","SCOT","MIKHAILOV","Peasant","Common","Human","19","Male","MIKHAILOV [164]","ADRIENN MIKHAILOV","Unusual hair color","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Skilled dancer","Slurs words, lisps, or stutters","Suspicious","Self-sacrifice or Slaughter","Community or Change","Knowledge or Discovery","Captivated by a romantic interest","Possession of forbidden lore","19","SCOT'S FARM",""
"563","EVEN","CARLSEN","Peasant","Common","Human","11","Male","CARLSEN [401]","","","","","","","","","","","","","11","",""
"564","GERARDA","ANDREASSEN","Peasant","Common","Human","4","Female","ANDREASSEN [190]","","","","","","","","","","","","","4","",""
"565","CARROLL","MACKENNA","Peasant","Common","Human","13","Male","MACKENNA [402]","","Nervous eye twitch","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Expert juggler","Stares into the distance","Suspicious","Charity or Greed","Community or Change","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Specific phobia","13","","LENNI'S FARM"
"566","EVAN","HANSEN","Peasant","Common","Human","19","Male","HANSEN [165]","ALECIA HANSEN","Missing teeth","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Great at one game","Taps fingers","Ponderous","Greater good or Might","Tradition or Whimsy","Moderation or Nation","Drawn to a special place","Envies another creature’s possessions or station","19","EVAN'S FARM",""
"567","MATVEY","BAUDIN","Peasant","Common","Human","24","Male","BAUDIN [166]","VALENTINA BAUDIN","Birthmark","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Expert juggler","Particularly low or high voice","Argumentative","Self-sacrifice or Slaughter","Community or Change","Knowledge or Discovery","Dedicated to fulfilling a personal life goal","Possession of forbidden lore","24","MATVEY'S FARM",""
"568","JUDITH","ANDREEV","Peasant","Common","Human","19","Female","ANDREEV [163]","BENT ANDREEV","Missing teeth","Intelligence - studious, learned, inquisitive","Constitution - sickly, pale","Skilled dancer","Squints","Rude","Life or Pain","Tradition or Whimsy","Moderation or Nation","Protective of close family members","Overpowering greed","19","BENT'S FARM",""
"569","ADA","OMDAHL","Peasant","Uncommon","Half-Elf","0","Female","OMDAHL [98]","","","","","","","","","","","","","0","",""
"570","ADRIENN","MIKHAILOV","Peasant","Common","Human","20","Female","MIKHAILOV [164]","SCOT MIKHAILOV","Nervous eye twitch","Dexterity - lithe, agile, graceful","Strength - feeble, scrawny","Unbelievably lucky","Whispers","Hot tempered","Beauty or Domination","Responsibility or No limits","People or Self-knowledge","Protective of a sentimental keepsake","Envies another creature’s possessions or station","20","SCOT'S FARM",""
"571","ERNST","SOKOLOV","Peasant","Common","Human","8","Male","SOKOLOV [403]","","","","","","","","","","","","","8","",""
"572","VERONIKA","BEATTY","Peasant","Uncommon","Half-Elf","9","Female","BEATTY [404]","","","","","","","","","","","","","10","",""
"573","YULIA","BAUMANN","Peasant","Common","Human","48","Female","BAUMANN [167]","BERTRAND BAUMANN","Exceptionally beautiful","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Great with animals","Particularly low or high voice","Argumentative","Self-sacrifice or Slaughter","Responsibility or No limits","Knowledge or Discovery","Protective of colleagues or compatriots","Has a powerful enemy","48","YULIA'S FARM",""
"574","ISMO","KLEIN","Peasant","Common","Human","15","Male","KLEIN [405]","","Formal, clean clothes","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Expert cook","Stares into the distance","Quiet","Self-sacrifice or Slaughter","Responsibility or No limits","Balance or Aspiration","Protective of a sentimental keepsake","Arrogance","15","","AONGHUS'S FARM"
"575","NAZARIY","HOWELL","Peasant","Common","Human","12","Male","HOWELL [406]","","Unusual skin color","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Speaks several languages fluently","Particularly low or high voice","Hot tempered","Life or Pain","Logic or Independence","Live and let live or Glory","Dedicated to fulfilling a personal life goal","Forbidden love or susceptibility to romance","12","","IOLO'S FARM"
"576","RHYDDERCH","MACINTYRE","Peasant","Uncommon","Dwarf","6","Male","MACINTYRE [407]","","","","","","","","","","","","","16","",""
"577","ALECIA","HANSEN","Peasant","Uncommon","Dwarf","25","Female","HANSEN [165]","EVAN HANSEN","Unusual hair color","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Perfect memory","Paces","Blustering","Beauty or Domination","Logic or Independence","People or Self-knowledge","Captivated by a romantic interest","Shameful or scandalous history","69","EVAN'S FARM",""
"578","ALLY","STAROSTA","Peasant","Uncommon","Half-Elf","3","Male","STAROSTA [175]","","","","","","","","","","","","","3","",""
"579","ANIELA","BOWEN","Peasant","Rare","Elf","7","Female","BOWEN [408]","","","","","","","","","","","","","38","",""
"580","PAAVO","VENTURA","Peasant","Common","Human","26","Male","VENTURA [168]","NADEJDA VENTURA","Distinctive posture (crooked or rigid)","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Skilled dancer","Twirls hair or tugs beard","Friendly","Charity or Greed","Logic or Independence","Knowledge or Discovery","Protective of close family members","Specific phobia","26","PAAVO'S FARM",""
"581","AVKSENTIY","RIJNDERS","Peasant","Common","Human","6","Male","RIJNDERS [409]","","","","","","","","","","","","","6","",""
"582","TONI","SOLBERG","Peasant","Common","Human","9","Male","SOLBERG [410]","","","","","","","","","","","","","9","",""
"583","ANDRE","HENRIKSEN","Peasant","Common","Human","10","Male","HENRIKSEN [411]","","","","","","","","","","","","","10","",""
"584","GRISHA","WYRZYK","Peasant","Common","Human","15","Male","WYRZYK [412]","","Bald","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Unbelievably lucky","Whispers","Ponderous","Respect or Retribution","Honor or Freedom","Live and let live or Glory","Protective of close family members","Possession of forbidden lore","15","","FRAZIER'S FARM"
"585","VALENTINA","BAUDIN","Peasant","Common","Human","19","Female","BAUDIN [166]","MATVEY BAUDIN","Distinctive jewelry: earrings, necklace, circlet, bracelets","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Great at one game","Chews something","Irritable","Beauty or Domination","Logic or Independence","Neutrality or Redemption","Protective of colleagues or compatriots","Shameful or scandalous history","19","MATVEY'S FARM",""
"586","DONAGH","PASZEK","Peasant","Common","Human","29","Male","PASZEK [169]","ALANA PASZEK","Exceptionally ugly","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Drinks everyone under the table","Chews something","Hot tempered","Greater good or Might","Fairness or Creativity","Neutrality or Redemption","Protective of close family members","Overpowering greed","29","DONAGH'S FARM",""
"587","ALDRIC","HOUSTON","Peasant","Common","Human","19","Male","HOUSTON [170]","DELMA HOUSTON","Pronounced scar","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Expert juggler","Bites fingernails","Arrogant","Charity or Greed","Honor or Freedom","Knowledge or Discovery","Loyal to a benefactor, patron, or employer","Enjoys decadent pleasures","19","ALDRIC'S FARM",""
"588","CATHRIN","DROIT","Peasant","Uncommon","Half-Elf","8","Female","DROIT [413]","","","","","","","","","","","","","8","",""
"589","AIDEEN","KRAKOWSKI","Peasant","Common","Human","4","Female","KRAKOWSKI [207]","","","","","","","","","","","","","4","",""
"590","NADEJDA","VENTURA","Peasant","Common","Human","21","Female","VENTURA [168]","PAAVO VENTURA","Formal, clean clothes","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Perfect memory","Paces","Quiet","Charity or Greed","Honor or Freedom","Moderation or Nation","Out for revenge","Possession of forbidden lore","21","PAAVO'S FARM",""
"591","ALANA","PASZEK","Peasant","Uncommon","Dwarf","22","Female","PASZEK [169]","DONAGH PASZEK","Missing teeth","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Expert dart thrower and rock skipper","Prone to predictions of doom","Ponderous","Respect or Retribution","Community or Change","Balance or Aspiration","Protective of a sentimental keepsake","Prone to rage","61","DONAGH'S FARM",""
"592","ALBERTA","NILSEN","Peasant","Common","Human","44","Female","NILSEN [155]","ALPHONSO NILSEN","Missing fingers","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Expert dart thrower and rock skipper","Stares into the distance","Friendly","Beauty or Domination","Community or Change","Balance or Aspiration","Out for revenge","Secret crime or misdeed","44","ALPHONSO'S FARM",""
"593","CERRIDWEN","CHRISTOFFERSEN","Peasant","Uncommon","Half-Elf","22","Female","CHRISTOFFERSEN [146]","IRAKLIY CHRISTOFFERSEN","Ragged, dirty clothes","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Draws beautifully","Stares into the distance","Arrogant","Greater good or Might","Community or Change","Moderation or Nation","Protective of a sentimental keepsake","Shameful or scandalous history","24","IRAKLIY'S FARM",""
"594","ALEKSANDR","DANIELSEN","Peasant","Uncommon","Half-Elf","36","Male","DANIELSEN [171]","CHARLOTTE DANIELSEN","Distinctive posture (crooked or rigid)","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Speaks several languages fluently","Speaks in rhyme or some other peculiar way","Honest","Life or Pain","Responsibility or No limits","Knowledge or Discovery","Protective of a sentimental keepsake","Shameful or scandalous history","40","ALEKSANDR'S FARM",""
"595","DELMA","HOUSTON","Peasant","Common","Human","25","Female","HOUSTON [170]","ALDRIC HOUSTON","Unusual hair color","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Plays a musical instrument","Taps fingers","Honest","Self-sacrifice or Slaughter","Fairness or Creativity","People or Self-knowledge","Protective of a sentimental keepsake","Arrogance","25","ALDRIC'S FARM",""
"596","ALEXANDRE","RASPUTIN","Peasant","Common","Human","4","Male","RASPUTIN [210]","","","","","","","","","","","","","4","",""
"597","BOGUSLAV","ANTONOV","Peasant","Common","Human","24","Male","ANTONOV [172]","JOANNA ANTONOV","Braided beard or hair","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Great at one game","Twirls hair or tugs beard","Ponderous","Charity or Greed","Honor or Freedom","Knowledge or Discovery","Out for revenge","Specific phobia","24","BOGUSLAV'S FARM",""
"598","JOANNA","ANTONOV","Peasant","Uncommon","Dwarf","22","Female","ANTONOV [172]","BOGUSLAV ANTONOV","Piercings","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Great at one game","Stares into the distance","Quiet","Life or Pain","Logic or Independence","Moderation or Nation","Dedicated to fulfilling a personal life goal","Possession of forbidden lore","61","BOGUSLAV'S FARM",""
"599","MARIAN","RAYNE","Peasant","Common","Human","5","Male","RAYNE [414]","","","","","","","","","","","","","5","",""
"600","ELISE","DROIT","Peasant","Uncommon","Dwarf","41","Female","DROIT [105]","JASON DROIT","Pronounced scar","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Skilled dancer","Twirls hair or tugs beard","Blustering","Self-sacrifice or Slaughter","Logic or Independence","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Envies another creature’s possessions or station","113","JASON'S FARM",""
"601","KENNY","MCNEILL","Peasant","Common","Human","10","Male","MCNEILL [415]","","","","","","","","","","","","","10","",""
"602","MAIRE","ROSE","Peasant","Common","Human","54","Female","ROSE [173]","IGNATIY ROSE","Unusual skin color","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Knows thieves’ cant","Squints","Friendly","Respect or Retribution","Fairness or Creativity","People or Self-knowledge","Protective of a sentimental keepsake","Enjoys decadent pleasures","54","MAIRE'S FARM",""
"603","ALEXANDRE","KONSTANTINOV","Peasant","Common","Human","26","Male","KONSTANTINOV [174]","NONA KONSTANTINOV","Birthmark","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Unbelievably lucky","Speaks loudly","Hot tempered","Life or Pain","Logic or Independence","Live and let live or Glory","Protective of close family members","Arrogance","26","ALEXANDRE'S FARM",""
"604","GENNADY","RASMUSSEN","Peasant","Common","Human","6","Male","RASMUSSEN [416]","","","","","","","","","","","","","6","",""
"605","CORINNE","MORTENSEN","Peasant","Uncommon","Half-Elf","6","Female","MORTENSEN [417]","","","","","","","","","","","","","6","",""
"606","HAJNA","ISAEV","Peasant","Common","Human","9","Female","ISAEV [418]","","","","","","","","","","","","","9","",""
"607","GRUFFUDD","MARIA","Peasant","Common","Human","16","Male","MARIA [419]","","Ragged, dirty clothes","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Great at one game","Uses colorful oaths and exclamations","Quiet","Respect or Retribution","Fairness or Creativity","Balance or Aspiration","Drawn to a special place","Shameful or scandalous history","16","","FRAZIER'S FARM"
"608","ELIZAVETA","STAROSTA","Peasant","Uncommon","Half-Elf","21","Female","STAROSTA [175]","VASILII STAROSTA","Unusual hair color","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Great at solving puzzles","Prone to singing, whistling, or humming quietly","Curious","Respect or Retribution","Tradition or Whimsy","Moderation or Nation","Protective of close family members","Possession of forbidden lore","23","ELIZAVETA'S FARM",""
"609","KATARZYNA","LANGLAIS","Peasant","Uncommon","Dwarf","16","Female","LANGLAIS [420]","","Pronounced scar","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Unbelievably lucky","Stares into the distance","Rude","Self-sacrifice or Slaughter","Logic or Independence","Balance or Aspiration","Drawn to a special place","Specific phobia","44","","ABBEY'S FARM"
"610","NONA","KONSTANTINOV","Peasant","Common","Human","18","Female","KONSTANTINOV [174]","ALEXANDRE KONSTANTINOV","Exceptionally beautiful","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Unbelievably lucky","Stares into the distance","Suspicious","Life or Pain","Logic or Independence","Neutrality or Redemption","Captivated by a romantic interest","Envies another creature’s possessions or station","18","ALEXANDRE'S FARM",""
"611","LILIYA","TOBIAS","Peasant","Rare","Gnome","15","Female","TOBIAS [421]","","Exceptionally ugly","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Draws beautifully","Frequently uses the wrong word","Arrogant","Beauty or Domination","Community or Change","Neutrality or Redemption","Drawn to a special place and Drawn to a special place","Envies another creature’s possessions or station","33","","HANNAH'S FARM"
"612","ESZTER","TCHAIKOVSKY","Peasant","Uncommon","Dwarf","2","Female","TCHAIKOVSKY [127]","","","","","","","","","","","","","5","",""
"613","ADELIA","BRET","Peasant","Uncommon","Half-Elf","6","Female","BRET [422]","","","","","","","","","","","","","6","",""
"614","DIDI","MIKHAILOV","Peasant","Uncommon","Half-Elf","13","Male","MIKHAILOV [423]","","Flamboyant or outlandish clothes","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Speaks several languages fluently","Chews something","Friendly","Beauty or Domination","Logic or Independence","Moderation or Nation","Protective of a sentimental keepsake","Arrogance","14","","DAMIANA'S FARM"
"615","ALOISIO","VOLLAN","Peasant","Common","Human","7","Male","VOLLAN [424]","","","","","","","","","","","","","7","",""
"616","VSEVOLOD","MORRIS","Peasant","Common","Human","14","Male","MORRIS [425]","","Unusual eye color (or two different colors)","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Expert cook","Twirls hair or tugs beard","Blustering","Charity or Greed","Community or Change","Balance or Aspiration","Loyal to a benefactor, patron, or employer","Possession of forbidden lore","14","","JASON'S FARM"
"617","DAG","HENRIKSEN","Peasant","Common","Human","49","Male","HENRIKSEN [154]","HILDEGARD HENRIKSEN","Formal, clean clothes","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Unbelievably lucky","Prone to singing, whistling, or humming quietly","Friendly","Life or Pain","Fairness or Creativity","Balance or Aspiration","Out for revenge","Arrogance","49","HILDEGARD'S FARM",""
"618","BARTHOLOMEW","KRISTIANSEN","Peasant","Common","Human","19","Male","KRISTIANSEN [176]","EWELINA KRISTIANSEN","Bald","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Great with children","Stares into the distance","Friendly","Life or Pain","Honor or Freedom","Neutrality or Redemption","Captivated by a romantic interest","Has a powerful enemy","19","BARTHOLOMEW'S FARM",""
"619","FIENE","MCRAE","Peasant","Common","Human","1","Female","MCRAE [117]","","","","","","","","","","","","","1","",""
"620","BERTRAND","BAUMANN","Peasant","Common","Human","43","Male","BAUMANN [167]","YULIA BAUMANN","Formal, clean clothes","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Great at solving puzzles","Fidgets","Ponderous","Greater good or Might","Community or Change","People or Self-knowledge","Protective of a valuable possession","Specific phobia","43","YULIA'S FARM",""
"621","ELIASZ","SIMON","Peasant","Common","Human","35","Male","SIMON [177]","ANNELIES SIMON","Distinctive nose","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Great at impersonations","Uses flowery speech or long words","Arrogant","Self-sacrifice or Slaughter","Community or Change","Neutrality or Redemption","Drawn to a special place","Foolhardy bravery","35","ELIASZ'S FARM",""
"622","FRANGAG","DAVIAU","Peasant","Common","Human","13","Female","DAVIAU [426]","","Missing teeth","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Drinks everyone under the table","Particularly low or high voice","Irritable","Charity or Greed","Honor or Freedom","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Specific phobia","13","","JASON'S FARM"
"623","THOMAS","KRISTOFFERSEN","Peasant","Common","Human","36","Male","KRISTOFFERSEN [178]","KAROLIINA KRISTOFFERSEN","Unusual hair color","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Speaks several languages fluently","Bites fingernails","Curious","Respect or Retribution","Community or Change","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Overpowering greed","36","THOMAS'S FARM",""
"624","CRISTOFORO","FALCONER","Peasant","Common","Human","25","Male","FALCONER [179]","EMMY FALCONER","Formal, clean clothes","Charisma - persuasive, forceful, born leader","Strength - feeble, scrawny","Drinks everyone under the table","Enunciates overly clearly","Argumentative","Beauty or Domination","Responsibility or No limits","Moderation or Nation","Drawn to a special place","Envies another creature’s possessions or station","25","CRISTOFORO'S FARM",""
"625","EWELINA","KRISTIANSEN","Peasant","Uncommon","Half-Elf","24","Female","KRISTIANSEN [176]","BARTHOLOMEW KRISTIANSEN","Formal, clean clothes","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Drinks everyone under the table","Fidgets","Quiet","Greater good or Might","Community or Change","Neutrality or Redemption","Protective of a sentimental keepsake","Secret crime or misdeed","26","BARTHOLOMEW'S FARM",""
"626","KARINA","VASILYEV","Peasant","Common","Human","10","Female","VASILYEV [427]","","","","","","","","","","","","","10","",""
"627","DEBORAH","ROMANOV","Peasant","Uncommon","Dwarf","4","Female","ROMANOV [428]","","","","","","","","","","","","","11","",""
"628","IGNATIY","ROSE","Peasant","Common","Human","47","Male","ROSE [173]","MAIRE ROSE","Exceptionally ugly","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Expert cook","Paces","Honest","Beauty or Domination","Community or Change","People or Self-knowledge","Captivated by a romantic interest","Secret crime or misdeed","47","MAIRE'S FARM",""
"629","INA","REY","Peasant","Common","Human","9","Female","REY [429]","","","","","","","","","","","","","9","",""
"630","SENS","DESCOTEAUX","Peasant","Common","Human","1","Female","DESCOTEAUX [125]","","","","","","","","","","","","","1","",""
"631","GERTRUD","ADAM","Peasant","Common","Human","7","Female","ADAM [430]","","","","","","","","","","","","","7","",""
"632","CRESCENZO","GORECKI","Peasant","Common","Human","39","Male","GORECKI [180]","KAROLIINA GORECKI","Flamboyant or outlandish clothes","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Skilled dancer","Makes constant jokes or puns","Ponderous","Self-sacrifice or Slaughter","Logic or Independence","Neutrality or Redemption","Dedicated to fulfilling a personal life goal","Arrogance","39","CRESCENZO'S FARM",""
"633","EMMY","FALCONER","Peasant","Common","Human","24","Female","FALCONER [179]","CRISTOFORO FALCONER","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Great with animals","Speaks loudly","Hot tempered","Charity or Greed","Honor or Freedom","Knowledge or Discovery","Loyal to a benefactor, patron, or employer","Specific phobia","24","CRISTOFORO'S FARM",""
"634","LOWRI","CHARRON","Peasant","Rare","Elf","6","Female","CHARRON [431]","","","","","","","","","","","","","33","",""
"635","GRO","MATHIESON","Peasant","Common","Human","1","Female","MATHIESON [129]","","","","","","","","","","","","","1","",""
"636","BARTA","FONTAINE","Peasant","Rare","Elf","26","Male","FONTAINE [181]","ANNELIES FONTAINE","Missing fingers","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Expert carpenter","Slurs words, lisps, or stutters","Honest","Life or Pain","Tradition or Whimsy","Knowledge or Discovery","Drawn to a special place","Shameful or scandalous history","144","BARTA'S FARM",""
"637","ULYANA","CHRISTOFFERSEN","Peasant","Common","Human","5","Female","CHRISTOFFERSEN [432]","","","","","","","","","","","","","5","",""
"638","ANNELIES","FONTAINE","Peasant","Uncommon","Dwarf","18","Female","FONTAINE [181]","BARTA FONTAINE","Pronounced scar","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Skilled dancer","Taps fingers","Rude","Self-sacrifice or Slaughter","Honor or Freedom","People or Self-knowledge","Loyal to a benefactor, patron, or employer and Protective of close family members","Possession of forbidden lore","50","BARTA'S FARM",""
"639","ARCHER","MURRAY","Peasant","Common","Human","35","Male","MURRAY [182]","JOZEFA MURRAY","Distinctive posture (crooked or rigid)","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Sings beautifully","Makes constant jokes or puns","Arrogant","Beauty or Domination","Logic or Independence","Moderation or Nation","Protective of a valuable possession","Foolhardy bravery","35","ARCHER'S FARM",""
"640","FINGALL","ABRAHAMSEN","Peasant","Uncommon","Half-Elf","13","Male","ABRAHAMSEN [433]","","Pronounced scar","Constitution - hardy, hale, healthy","Charisma - dull, boring","Great with children","Speaks in rhyme or some other peculiar way","Curious","Self-sacrifice or Slaughter","Honor or Freedom","Moderation or Nation","Captivated by a romantic interest","Secret crime or misdeed","14","","CHARLOTTA'S FARM"
"641","ETHAN","KENDRICK","Peasant","Common","Human","28","Male","KENDRICK [183]","EMMY KENDRICK","Exceptionally ugly","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Great at one game","Uses flowery speech or long words","Argumentative","Respect or Retribution","Community or Change","People or Self-knowledge","Protective of close family members","Forbidden love or susceptibility to romance","28","ETHAN'S FARM",""
"642","DAMIEN","LINDSAY","Peasant","Common","Human","28","Male","LINDSAY [184]","PIA LINDSAY","Distinctive nose","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Sings beautifully","Particularly low or high voice","Honest","Life or Pain","Responsibility or No limits","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Foolhardy bravery","28","DAMIEN'S FARM",""
"643","CHARLOTTE","DANIELSEN","Peasant","Common","Human","33","Female","DANIELSEN [171]","ALEKSANDR DANIELSEN","Tattoos","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Speaks several languages fluently","Makes constant jokes or puns","Honest","Charity or Greed","Tradition or Whimsy","Moderation or Nation","Protective of a sentimental keepsake","Shameful or scandalous history","33","ALEKSANDR'S FARM",""
"644","EMMY","KENDRICK","Peasant","Common","Human","20","Female","KENDRICK [183]","ETHAN KENDRICK","Flamboyant or outlandish clothes","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Skilled actor and master of disguise","Squints","Suspicious","Self-sacrifice or Slaughter","Community or Change","Knowledge or Discovery","Drawn to a special place","Arrogance","20","ETHAN'S FARM",""
"645","ISOBEL","DALGAARD","Peasant","Common","Human","8","Female","DALGAARD [434]","","","","","","","","","","","","","8","",""
"646","INGEGERD","BOIVIN","Peasant","Common","Human","13","Female","BOIVIN [435]","","Bald","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Expert carpenter","Particularly low or high voice","Ponderous","Life or Pain","Responsibility or No limits","Live and let live or Glory","Out for revenge","Enjoys decadent pleasures","13","","LUCIANA'S FARM"
"647","PIA","LINDSAY","Peasant","Common","Human","18","Female","LINDSAY [184]","DAMIEN LINDSAY","Exceptionally beautiful","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Great at solving puzzles","Prone to singing, whistling, or humming quietly","Curious","Self-sacrifice or Slaughter","Fairness or Creativity","Balance or Aspiration","Dedicated to fulfilling a personal life goal","Shameful or scandalous history","18","DAMIEN'S FARM",""
"648","CONSOLATA","OSTROWSKI","Peasant","Common","Human","12","Female","OSTROWSKI [436]","","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Constitution - sickly, pale","Skilled dancer","Squints","Friendly","Life or Pain","Tradition or Whimsy","Knowledge or Discovery","Captivated by a romantic interest","Secret crime or misdeed","12","","ELIGIUSZ'S FARM"
"649","GUSTAF","GIRARD","Peasant","Common","Human","26","Male","GIRARD [185]","LUCA GIRARD","Braided beard or hair","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Sings beautifully","Speaks loudly","Suspicious","Greater good or Might","Logic or Independence","Live and let live or Glory","Protective of a valuable possession","Shameful or scandalous history","26","GUSTAF'S FARM",""
"650","BOELE","BONHEUR","Peasant","Uncommon","Dwarf","16","Male","BONHEUR [437]","","Exceptionally beautiful","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Expert juggler","Fidgets","Suspicious","Beauty or Domination","Tradition or Whimsy","People or Self-knowledge","Protective of a valuable possession","Possession of forbidden lore","44","","ELIGIUSZ'S FARM"
"651","DANIELE","SCHRADER","Peasant","Common","Human","8","Male","SCHRADER [438]","","","","","","","","","","","","","8","",""
"652","ANNELIES","SIMON","Peasant","Common","Human","30","Female","SIMON [177]","ELIASZ SIMON","Unusual skin color","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Knows thieves’ cant","Paces","Argumentative","Beauty or Domination","Logic or Independence","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Secret crime or misdeed","30","ELIASZ'S FARM",""
"653","CARROLL","GAGNE","Peasant","Common","Human","12","Male","GAGNE [439]","","Piercings","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Sings beautifully","Uses colorful oaths and exclamations","Curious","Charity or Greed","Logic or Independence","Balance or Aspiration","Out for revenge","Arrogance","12","","ELVA'S FARM"
"654","BROOS","MATVEEV","Peasant","Common","Human","2","Male","MATVEEV [130]","","","","","","","","","","","","","2","",""
"655","FELICIANO","MCKELLAR","Peasant","Common","Human","13","Male","MCKELLAR [440]","","Unusual hair color","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Great with children","Particularly low or high voice","Hot tempered","Life or Pain","Community or Change","Live and let live or Glory","Dedicated to fulfilling a personal life goal and Protective of colleagues or compatriots","Enjoys decadent pleasures","13","","ELVA'S FARM"
"656","KAROLIINA","KRISTOFFERSEN","Peasant","Uncommon","Dwarf","31","Female","KRISTOFFERSEN [178]","THOMAS KRISTOFFERSEN","Braided beard or hair","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Sings beautifully","Taps fingers","Hot tempered","Beauty or Domination","Tradition or Whimsy","Neutrality or Redemption","Protective of a sentimental keepsake","Has a powerful enemy","86","THOMAS'S FARM",""
